level,metric_name,dataset,split,label,mean,None
patch-level,CHI,mvtec_cable,train,0,10.682903084530944,0
patch-level,CHI,mvtec_cable,test,1,10.76004265896925,0
patch-level,CHI,mvtec_cable,val,0,10.897345798292912,0
patch-level,CHI,mvtec_carpet,test,1,11.402539026422813,0
patch-level,CHI,mvtec_bottle+cable,test,0,11.551326865206743,0
patch-level,CHI,mvtec_bottle+cable,test,1,12.037267120320696,0
image-level,CHI,mvtec_bottle,val,0,12.086182894497487,0
patch-level,CHI,mvtec_cable,test,0,12.184696029536024,0
image-level,CHI,mvtec_bottle,train,0,12.582123331059787,0
patch-level,CHI,mvtec_bottle+cable+capsule,test,0,12.970601690970287,0
patch-level,CHI,mvtec_carpet,train,0,13.08820933675363,0
patch-level,CHI,mvtec_carpet,val,0,13.73510736383958,0
patch-level,CHI,mvtec_bottle+cable,val,0,14.041812371593824,0
patch-level,CHI,mvtec_bottle+cable,train,0,14.34834560490872,0
patch-level,CHI,mvtec_carpet,test,0,15.000050072390659,0
patch-level,CHI,mvtec_bottle+cable+capsule,test,1,15.101810104786964,0
patch-level,CHI,mvtec_bottle+cable+capsule,train,0,16.15278708023435,0
patch-level,CHI,mvtec_bottle+cable+capsule,val,0,16.64901906399445,0
patch-level,CHI,mvtec_bottle,test,1,18.664871202273112,0
image-level,CHI,mvtec_cable,test,1,20.48541927334935,0
patch-level,CHI,mvtec_bottle,train,0,20.507192960346416,0
patch-level,CHI,mvtec_bottle,test,0,20.693642927749654,0
patch-level,CHI,mvtec_bottle,val,0,20.9485383211021,0
patch-level,CHI,mvtec_bottle+cable+capsule+carpet,test,0,21.288885529286503,0
patch-level,CHI,mvtec_bottle+cable+capsule+carpet,test,1,23.50054987921991,0
patch-level,CHI,mvtec_capsule,test,1,27.512539385477332,0
patch-level,CHI,mvtec_bottle+cable+capsule+carpet,val,0,27.550411444589564,0
patch-level,CHI,mvtec_bottle+cable+capsule+carpet,train,0,28.12146922734963,0
