level,metric_name,dataset,split,label,mean,None
patch-level,CHI,lg_PCBNG_0.01_M,train,0,8.20211856361718,0
patch-level,CHI,lg_PCBNG_0.01_M,val,0,9.705939546902854,0
patch-level,CHI,lg_PCBNG_0.1,val,0,11.304349163487782,0
patch-level,CHI,lg_PCBNG_0.01,val,0,11.441255586632177,0
patch-level,CHI,lg_PCBNG,val,0,11.700341747626988,0
patch-level,CHI,lg_PCBNG_0.01,train,0,12.467189966563149,0
patch-level,CHI,lg_PCBNG_0.01_M,test,0,19.28928102457964,0
patch-level,CHI,lg_PCBNG_0.01_M,val,1,19.36301094635059,0
image-level,CHI,mvtec_capsule_0.02,val,0,20.609204732084358,0
image-level,CHI,mvtec_capsule,val,0,20.609204732084358,0
patch-level,CHI,lg_PCBNG_0.01,test,0,21.39432850413351,0
patch-level,CHI,lg_PCBNG_0.1,test,0,22.088687437564786,0
patch-level,CHI,lg_PCBNG,train,0,22.318070176918027,0
patch-level,CHI,lg_PCBNG,test,0,22.590135679568714,0
image-level,CHI,mvtec_capsule_0.02,train,0,23.52183633819818,0
patch-level,CHI,lg_PCBNG_0.1,train,0,25.410016290176866,0
patch-level,CHI,lg_PCBNG_0.1,val,1,25.418670603398468,0
patch-level,CHI,lg_PCBNG,val,1,26.236715546171723,0
patch-level,CHI,lg_PCBNG_0.01,val,1,26.697461064136984,0
image-level,CHI,mvtec_capsule_0.02,test,1,29.86737939440427,0
patch-level,CHI,lg_PCBNG_0.01,test,1,30.569043536485715,0
image-level,CHI,mvtec_capsule,test,1,30.688917844031426,0
patch-level,CHI,lg_PCBNG_0.1,test,1,31.778644802368536,0
patch-level,CHI,lg_PCBNG_0.01_M,test,1,31.86156720008225,0
patch-level,CHI,lg_PCBNG,test,1,32.820792125845344,0
patch-level,CHI,mvtec_capsule_0.02+pill_0.02,train,0,35.29244546167719,0
image-level,CHI,lg_PCBNG_0.01_M,train,0,35.887872545901025,0
image-level,CHI,mvtec_capsule,val,1,37.73843803176753,0
image-level,CHI,mvtec_capsule_0.02,val,1,40.08311179204952,0
image-level,CHI,mvtec_capsule_0.02,test,0,40.282027897924685,0
image-level,CHI,mvtec_capsule,train,0,40.701612138503506,0
patch-level,CHI,mvtec_capsule_0.02,train,0,40.840452230367,0
image-level,CHI,mvtec_capsule,test,0,42.4433252152048,0
image-level,CHI,lg_PCBNG_0.01,train,0,43.737471906584894,0
patch-level,CHI,mvtec_capsule,val,0,49.682842908649015,0
patch-level,CHI,mvtec_capsule_0.02,val,0,50.56978998752942,0
image-level,CHI,lg_PCBNG_0.01,test,0,55.82454651012584,0
image-level,CHI,lg_PCBNG_0.01_M,test,0,56.02359131737647,0
image-level,CHI,lg_PCBNG,test,0,57.668336573822955,0
image-level,CHI,lg_PCBNG_0.1,test,0,58.26403711534787,0
patch-level,CHI,mvtec_capsule_0.02+pill_0.02,val,0,62.26812307764667,0
patch-level,CHI,mvtec_capsule+pill,val,0,62.90362300620437,0
image-level,CHI,lg_PCBNG,train,0,63.02287482373625,0
patch-level,CHI,mvtec_capsule+pill+bottle,train,0,66.2480562977747,0
image-level,CHI,lg_PCBNG_0.1,train,0,76.17213151095544,0
patch-level,CHI,mvtec_capsule+pill+bottle,val,1,77.89706672853782,0
patch-level,CHI,mvtec_capsule+pill+bottle,test,1,81.12097380574576,0
patch-level,CHI,mvtec_capsule+pill+bottle,val,0,88.4301768734936,0
image-level,CHI,lg_PCBNG_0.01,val,1,96.44026913638024,0
image-level,CHI,lg_PCBNG,val,1,97.1732993303932,0
image-level,CHI,lg_PCBNG_0.1,val,1,98.37533935951924,0
image-level,CHI,lg_PCBNG_0.01_M,val,0,99.60682559966894,0
image-level,CHI,lg_PCBNG_0.01_M,test,1,103.17521531381274,0
patch-level,CHI,mvtec_capsule+pill+bottle,test,0,104.11506040103968,0
patch-level,CHI,mvtec_capsule+pill,test,1,105.1216212155551,0
image-level,CHI,lg_PCBNG_0.01,test,1,105.46232041367257,0
image-level,CHI,lg_PCBNG,test,1,106.3560873668054,0
patch-level,CHI,mvtec_capsule_0.02+pill_0.02,val,1,110.82890823644848,0
image-level,CHI,lg_PCBNG_0.1,test,1,111.14722625213673,0
patch-level,CHI,mvtec_capsule+pill,val,1,112.96913344816373,0
patch-level,CHI,mvtec_capsule+pill,train,0,115.08093285528506,0
patch-level,CHI,mvtec_capsule_0.02+pill_0.02,test,1,121.69005875751444,0
patch-level,CHI,mvtec_capsule+pill,test,0,129.99850234136255,0
patch-level,CHI,mvtec_capsule_0.02+pill_0.02,test,0,133.7171407326445,0
patch-level,CHI,mvtec_capsule_0.02,val,1,193.581587583844,0
image-level,CHI,lg_PCBNG_0.01,val,0,210.60061742262695,0
image-level,CHI,lg_PCBNG_0.1,val,0,210.60061742262695,0
image-level,CHI,lg_PCBNG,val,0,210.60061742262695,0
patch-level,CHI,mvtec_capsule,val,1,212.51776137889942,0
patch-level,CHI,mvtec_capsule,test,1,224.13252090057398,0
patch-level,CHI,mvtec_capsule_0.02,test,1,234.72644724995243,0
image-level,CHI,lg_PCBNG_0.01_M,val,1,235.35553403394005,0
patch-level,CHI,mvtec_capsule,test,0,272.1259178873627,0
patch-level,CHI,mvtec_capsule_0.02,test,0,287.6359297316424,0
patch-level,CHI,mvtec_capsule,train,0,304.9837761643933,0
image-level,CHI,mvtec_capsule+pill+bottle,val,1,705.3189616920989,0
image-level,CHI,mvtec_capsule_0.02+pill_0.02,train,0,796.6392543570597,0
image-level,CHI,mvtec_capsule_0.02+pill_0.02,val,1,955.4605665990078,0
image-level,CHI,mvtec_capsule+pill,val,1,974.9450012679375,0
image-level,CHI,mvtec_capsule+pill+bottle,test,1,1033.3989099511975,0
image-level,CHI,mvtec_capsule_0.02+pill_0.02,test,1,1111.175455528082,0
image-level,CHI,mvtec_capsule_0.02+pill_0.02,val,0,1116.4530857635134,0
image-level,CHI,mvtec_capsule+pill,val,0,1121.4642714459446,0
image-level,CHI,mvtec_capsule+pill,test,1,1148.5785586483903,0
image-level,CHI,mvtec_capsule_0.02+pill_0.02,test,0,1612.3945798563368,0
image-level,CHI,mvtec_capsule+pill,test,0,1622.1252766447421,0
image-level,CHI,mvtec_capsule+pill,train,0,1630.756625395148,0
image-level,CHI,mvtec_capsule+pill+bottle,train,0,2339.9399198176643,0
image-level,CHI,mvtec_capsule+pill+bottle,test,0,2387.995072039962,0
image-level,CHI,mvtec_capsule+pill+bottle,val,0,2511.781943197241,0
image-level,CORAL,mvtec_capsule,train,0,1.5485740862374032e-12,0
image-level,CORAL,mvtec_capsule_0.02,test,0,3.5238558399389165e-12,0
image-level,CORAL,mvtec_capsule,test,0,3.536008726275075e-12,0
image-level,CORAL,mvtec_capsule_0.02,test,1,6.467512298716921e-12,0
image-level,CORAL,mvtec_capsule,test,1,6.548590393475745e-12,0
image-level,CORAL,mvtec_capsule_0.02,val,1,1.1535857291546797e-11,0
image-level,CORAL,mvtec_capsule,val,1,1.1945929663872978e-11,0
image-level,CORAL,mvtec_capsule_0.02,train,0,1.2716764273557057e-11,0
image-level,CORAL,mvtec_capsule_0.02,val,0,1.553619784558369e-11,0
image-level,CORAL,mvtec_capsule,val,0,1.554229603351054e-11,0
image-level,CORAL,mvtec_capsule+pill,train,0,8.371806061585608e-11,0
image-level,CORAL,mvtec_capsule_0.02+pill_0.02,val,0,2.5724951089461936e-10,0
image-level,CORAL,mvtec_capsule+pill,val,0,2.589879695355513e-10,0
image-level,CORAL,mvtec_capsule_0.02+pill_0.02,train,0,3.412197420726848e-10,0
image-level,CORAL,mvtec_capsule+pill+bottle,train,0,6.187121211337355e-10,0
image-level,CORAL,mvtec_capsule+pill,test,0,6.921945152407738e-10,0
image-level,CORAL,mvtec_capsule_0.02+pill_0.02,test,0,7.139811762160719e-10,0
image-level,CORAL,mvtec_capsule_0.02+pill_0.02,test,1,1.7235866624568108e-09,0
image-level,CORAL,mvtec_capsule+pill,test,1,1.7504920718919293e-09,0
image-level,CORAL,mvtec_capsule_0.02+pill_0.02,val,1,2.4643522483491774e-09,0
image-level,CORAL,mvtec_capsule+pill,val,1,2.464882253166989e-09,0
image-level,CORAL,lg_PCBNG,train,0,4.287920733814232e-09,0
image-level,CORAL,lg_PCBNG_0.01_M,test,1,5.1432623662250875e-09,0
image-level,CORAL,lg_PCBNG_0.1,test,1,5.299310588346984e-09,0
image-level,CORAL,lg_PCBNG,test,1,5.406194746315762e-09,0
image-level,CORAL,lg_PCBNG_0.01,test,1,5.460892892994451e-09,0
image-level,CORAL,lg_PCBNG_0.01,test,0,6.077628484923991e-09,0
patch-level,CORAL,mvtec_capsule,train,0,6.0980560510071055e-09,0
image-level,CORAL,lg_PCBNG,test,0,6.247542233328574e-09,0
image-level,CORAL,lg_PCBNG_0.1,test,0,6.361264503151886e-09,0
image-level,CORAL,lg_PCBNG_0.01_M,test,0,6.871492656213007e-09,0
image-level,CORAL,lg_PCBNG_0.1,train,0,7.665304901927072e-09,0
patch-level,CORAL,mvtec_capsule,test,1,9.015402543166573e-09,0
patch-level,CORAL,mvtec_capsule_0.02,test,1,9.222717142876035e-09,0
image-level,CORAL,lg_PCBNG_0.01_M,val,0,1.1278700032590904e-08,0
image-level,CORAL,mvtec_capsule+pill+bottle,val,1,1.2681275748605003e-08,0
image-level,CORAL,mvtec_capsule+pill+bottle,test,1,1.3476591572469943e-08,0
patch-level,CORAL,mvtec_capsule_0.02,test,0,1.39814778084002e-08,0
patch-level,CORAL,mvtec_capsule,test,0,1.4069634262092733e-08,0
image-level,CORAL,mvtec_capsule+pill+bottle,test,0,1.7552766740536186e-08,0
image-level,CORAL,mvtec_capsule+pill+bottle,val,0,1.8191665546396507e-08,0
patch-level,CORAL,mvtec_capsule_0.02,val,1,1.9065913297922067e-08,0
patch-level,CORAL,mvtec_capsule,val,1,1.949093154962611e-08,0
image-level,CORAL,lg_PCBNG,val,1,2.7992931569187363e-08,0
image-level,CORAL,lg_PCBNG_0.01,val,1,2.8154684978076715e-08,0
image-level,CORAL,lg_PCBNG_0.1,val,1,2.868387150556373e-08,0
image-level,CORAL,lg_PCBNG_0.01,train,0,3.1294122535996395e-08,0
patch-level,CORAL,mvtec_capsule_0.02,val,0,3.5920870606886976e-08,0
patch-level,CORAL,mvtec_capsule,val,0,3.629715823016966e-08,0
patch-level,CORAL,mvtec_capsule_0.02,train,0,3.893036678093154e-08,0
image-level,CORAL,lg_PCBNG_0.01_M,train,0,5.10172844343515e-08,0
patch-level,CORAL,lg_PCBNG_0.01_M,test,1,9.347164646555938e-08,0
patch-level,CORAL,lg_PCBNG_0.01,test,1,9.491621224810842e-08,0
image-level,CORAL,lg_PCBNG_0.1,val,0,9.561247888711932e-08,0
image-level,CORAL,lg_PCBNG,val,0,9.562886614844502e-08,0
image-level,CORAL,lg_PCBNG_0.01,val,0,9.563427738612518e-08,0
patch-level,CORAL,lg_PCBNG_0.1,test,1,9.581386002821546e-08,0
patch-level,CORAL,lg_PCBNG,test,1,9.596251825882973e-08,0
image-level,CORAL,lg_PCBNG_0.01_M,val,1,1.0855940593046398e-07,0
patch-level,CORAL,lg_PCBNG,train,0,1.1285334112187684e-07,0
patch-level,CORAL,lg_PCBNG,test,0,1.474620777344171e-07,0
patch-level,CORAL,lg_PCBNG_0.1,test,0,1.476062622458585e-07,0
patch-level,CORAL,lg_PCBNG_0.01,test,0,1.4775261566057907e-07,0
patch-level,CORAL,lg_PCBNG_0.01_M,test,0,1.6611947930300631e-07,0
patch-level,CORAL,lg_PCBNG_0.1,train,0,1.9440338559206792e-07,0
patch-level,CORAL,mvtec_capsule_0.02+pill_0.02,test,1,4.412689202695219e-07,0
patch-level,CORAL,lg_PCBNG,val,1,4.4231972333363956e-07,0
patch-level,CORAL,lg_PCBNG_0.01,val,1,4.436804673559891e-07,0
patch-level,CORAL,lg_PCBNG_0.1,val,1,4.4627588960111097e-07,0
patch-level,CORAL,mvtec_capsule+pill,test,1,4.48010768337781e-07,0
patch-level,CORAL,mvtec_capsule_0.02+pill_0.02,val,1,4.65555561106612e-07,0
patch-level,CORAL,mvtec_capsule+pill,val,1,4.7094339362274697e-07,0
patch-level,CORAL,mvtec_capsule+pill,test,0,4.729704854185002e-07,0
patch-level,CORAL,mvtec_capsule_0.02+pill_0.02,test,0,4.852297192314836e-07,0
patch-level,CORAL,mvtec_capsule+pill,val,0,5.090218703003302e-07,0
patch-level,CORAL,mvtec_capsule_0.02+pill_0.02,val,0,5.091583341254591e-07,0
patch-level,CORAL,lg_PCBNG_0.01_M,val,1,7.861994043878439e-07,0
patch-level,CORAL,mvtec_capsule+pill+bottle,val,1,8.073980674225823e-07,0
patch-level,CORAL,mvtec_capsule+pill+bottle,test,1,8.143718806650213e-07,0
patch-level,CORAL,mvtec_capsule+pill,train,0,8.238374032885077e-07,0
patch-level,CORAL,lg_PCBNG_0.01_M,val,0,8.246858466236518e-07,0
patch-level,CORAL,lg_PCBNG_0.01,train,0,9.085362636369609e-07,0
patch-level,CORAL,mvtec_capsule_0.02+pill_0.02,train,0,1.0717909340201003e-06,0
patch-level,CORAL,mvtec_capsule+pill+bottle,test,0,1.1286411945548026e-06,0
patch-level,CORAL,mvtec_capsule+pill+bottle,train,0,1.2373898053965605e-06,0
patch-level,CORAL,mvtec_capsule+pill+bottle,val,0,1.238125526811018e-06,0
patch-level,CORAL,lg_PCBNG_0.1,val,0,1.3410281186452266e-06,0
patch-level,CORAL,lg_PCBNG_0.01,val,0,1.3444935208326569e-06,0
patch-level,CORAL,lg_PCBNG,val,0,1.3694756875111126e-06,0
patch-level,CORAL,lg_PCBNG_0.01_M,train,0,1.4706724741699873e-06,0
